ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer
10594,Pokemon Conquest,DS,2012,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02,Koei
10595,Pokemon Dash,DS,2004,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77,Ambrella
10596,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,
10597,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,
10598,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,
10599,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,
10600,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,1.56,ChunSoft
10601,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,
10602,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,"Nintendo, Spike Chunsoft"
10603,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,
10604,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,
10605,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,
10606,Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,1.56,
10607,Pokemon Puzzle League,N64,2000,Puzzle,Nintendo,0.36,0.08,0,0.01,0.45,
10608,Pokemon Ranger,DS,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,HAL Labs
10609,Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,Creatures Inc.
10610,Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,0.94,0.53,0.62,0.18,2.28,"HAL Labs, Creatures Inc."
10611,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,
10612,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,
10613,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,Ambrella
10614,Pokemon Rumble World,3DS,2015,Action,Nintendo,0,0.01,0.08,0,0.09,"Ambrella, The Pokemon Company"
10615,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63,
10616,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,
10617,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,
10618,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,"Spike Chunsoft Co. Ltd., Spike Chunsoft"
10619,Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.25,0,0.31,0.02,0.59,
10620,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,
10621,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,Genius Sonority Inc.
10622,PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.26,0.19,0.27,0.04,0.75,Creatures Inc.
10623,Poker for Dummies,PC,2008,Misc,Electronic Arts,0,0.01,0,0,0.01,Electronic Arts
10624,Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,Bandai Namco Games
10625,Polar Bowler,DS,2008,Sports,Mumbo Jumbo,0.02,0,0,0,0.02,Engine Software
10626,Polaris,2600,1982,Action,Tigervision,0.26,0.02,0,0,0.28,
10627,Polaris SnoCross,PS,2000,Racing,Vatical Entertainment,0.09,0.06,0,0.01,0.16,Vicarious Visions
10628,Polaris SnoCross,N64,2000,Racing,Vatical Entertainment,0.05,0.01,0,0,0.06,
10629,Polarium,DS,2004,Puzzle,Nintendo,0.13,0.01,0.11,0.01,0.26,Mitchell
10630,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0,0.01,1.18,
10631,Policenauts,3DO,1995,Adventure,Konami Digital Entertainment,0,0,0.06,0,0.06,
10632,Polly Pocket: Super Splash Island,GBA,2003,Action,Knowledge Adventure,0.17,0.06,0,0,0.24,
10633,Pong / Asteroids / Yars' Revenge,GBA,2005,Misc,Zoo Digital Publishing,0.05,0.02,0,0,0.07,DSI Games
10634,Pong: The Next Level,PS,1998,Puzzle,Hasbro Interactive,0.56,0.38,0,0.07,1.01,
10635,Pony Friends,DS,2007,Simulation,Eidos Interactive,0,0.04,0,0.01,0.04,Tantalus Interactive
10636,Pony Friends 2,DS,2009,Simulation,Eidos Interactive,0.21,0.09,0,0.03,0.32,Tantalus Interactive
10637,Pony Friends 2,Wii,2009,Simulation,Eidos Interactive,0.03,0.04,0,0.01,0.08,Tantalus Interactive
10638,Pony Friends 2,PC,2009,Simulation,Eidos Interactive,0,0.01,0,0,0.01,
10639,Pony Friends: Mini Breeds Edition,DS,2008,Simulation,Eidos Interactive,0.05,0,0,0,0.05,"Eidos Interactive, Tantalus Interactive"
10640,Pony Luv,DS,2008,Simulation,GSP,0.02,0,0,0,0.02,Glyphic Entertainment
10641,Pool Hall Pro,Wii,2009,Sports,Playlogic Game Factory,0.04,0,0,0,0.05,Icon Games
10642,Pool Party,Wii,2007,Sports,SouthPeak Games,0.04,0,0,0,0.05,SouthPeak Games
10643,Pop Cutie! Street Fashion Simulation,DS,2008,Simulation,Tecmo Koei,0.06,0,0,0,0.06,
10644,Pop Cutie! Street Fashion Simulation (JP sales),DS,2008,Simulation,Tecmo Koei,0,0,0.03,0,0.03,
10645,PopCap Arcade Vol 1,X360,2007,Puzzle,PopCap Games,0.04,0,0,0,0.04,PopCap
10646,PopCap Arcade Vol 2,X360,2009,Misc,PopCap Games,0.03,0,0,0,0.03,PopCap
10647,PopCap Hits!,X360,2011,Misc,PopCap Games,0,0.02,0,0,0.02,
10648,PopCap Hits! Vol 2,X360,2011,Misc,Mastertronic,0,0.02,0,0,0.02,
10649,Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,
10650,Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54,
10651,Popeye: Rush for Spinach,GBA,2005,Platform,Atari,0.02,0.01,0,0,0.03,Magic Pockets
10652,Pop'n Music,Wii,2009,Misc,Konami Digital Entertainment,0.07,0,0,0.01,0.08,Konami
10653,Pop'n Music 12 Iroha,PS2,2006,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02,
10654,Pop'n Music 13 Carnival,PS2,2006,Simulation,Konami Digital Entertainment,0,0,0.03,0,0.03,
10655,Pop'n Music 14 Fever!,PS2,2007,Misc,Konami Digital Entertainment,0,0,0.03,0,0.03,
10656,Pop'n Music Portable,PSP,2010,Misc,Konami Digital Entertainment,0,0,0.13,0,0.13,
10657,Pop'n Music Portable 2,PSP,2011,Misc,Konami Digital Entertainment,0,0,0.06,0,0.06,
10658,Pop'n TwinBee: Rainbow Bell Adventure,SNES,1993,Platform,Konami Digital Entertainment,0,0,0.06,0,0.06,
10659,PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,0.05,0,0,0,0.06,G-Artists
10660,PoPoLoCrois (JP sales),PSP,2005,Role-Playing,Ignition Entertainment,0,0,0.08,0,0.08,
10661,PoPoLoCrois Monogatari,PS,1996,Role-Playing,Sony Computer Entertainment,0,0,0.46,0.03,0.5,
10662,PoPoLoCrois Monogatari II,PS,2000,Role-Playing,Sony Computer Entertainment,0,0,0.2,0.01,0.21,
10663,PoPoLoCrois: Hajimari no Bouken,PS2,2002,Role-Playing,Sony Computer Entertainment,0,0,0.16,0,0.16,
10664,PopStar Guitar,Wii,2008,Misc,Midway Games,0.03,0.02,0,0,0.05,Broadsword Interactive
10665,PopStar Guitar,PS2,2008,Misc,XS Games,0.02,0.01,0,0,0.04,XS Games
10666,Populous DS,DS,2008,Strategy,Rising Star Games,0.07,0,0.02,0.01,0.09,Genki
10667,Populous: The Beginning,PS,1998,Strategy,Electronic Arts,0.05,0.04,0,0.01,0.09,
10668,Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25,
10669,Porsche Challenge,PS,1997,Racing,Sony Computer Entertainment,0.05,0.03,0,0.01,0.09,
10670,Port Royale 2,PC,2004,Strategy,Ascaron Entertainment GmbH,0,0.03,0,0.01,0.04,Ascaron Entertainment GmbH
10671,Port Royale 3,PS3,N/A,Simulation,Kalypso Media,0.06,0,0,0.01,0.07,Kalypso
10672,Port Royale 3,X360,N/A,Simulation,Kalypso Media,0.06,0,0,0.01,0.07,Kalypso
10673,Portable Island: Tenohira Resort,PSP,2006,Simulation,Namco Bandai Games,0,0,0.02,0,0.02,
10674,Portal 2,X360,2011,Shooter,Valve Software,1.41,0.49,0.01,0.17,2.08,Valve Software
10675,Portal 2,PS3,2011,Shooter,Valve,0.83,0.6,0.02,0.24,1.7,Valve Software
10676,Portal 2,PC,2011,Shooter,Valve Software,0.33,0.32,0,0.1,0.76,Valve Software
10677,Portal Runner,PS2,2001,Platform,3DO,0.06,0.05,0,0.02,0.13,3DO
10678,Post Mortem,PC,2003,Adventure,Microids,0,0.01,0,0,0.02,Microids
10679,Postman Pat: Special Delivery Service,DS,2009,Misc,GSP,0,0.01,0,0,0.01,
10680,Poupee Girl DS,DS,2009,Misc,Alvion,0,0,0.02,0,0.02,
10681,Poupee Girl DS 2: Elegant Mint / Sweet Pink Style,DS,2010,Misc,Alvion,0,0,0.02,0,0.02,
10682,Power Gig: Rise of the SixString,PS3,2010,Misc,Unknown,0.13,0,0,0.01,0.14,Seven45 Studios
10683,Power Gig: Rise of the SixString,X360,2010,Misc,Unknown,0.11,0,0,0.01,0.12,Seven45 Studios
10684,Power Play Pool,DS,2006,Sports,System 3 Arcade Software,0.03,0,0,0,0.04,System 3
10685,Power Pocket Koushien,DS,2005,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1,
10686,Power Poke Dash,GBA,2006,Sports,Konami Digital Entertainment,0,0,0.03,0,0.03,
10687,Power Pro GB,GB,1998,Sports,Konami Digital Entertainment,0,0,0.07,0,0.07,
10688,Power Pro Kun Pocket,GB,1999,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,
10689,Power Pro Kun Pocket 1+2,GBA,2004,Sports,Konami Digital Entertainment,0,0,0.14,0,0.15,
10690,Power Pro Kun Pocket 10,DS,2007,Sports,Konami Digital Entertainment,0,0,0.3,0,0.3,
10691,Power Pro Kun Pocket 11,DS,2008,Sports,Konami Digital Entertainment,0,0,0.29,0,0.29,
10692,Power Pro Kun Pocket 12,DS,2009,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19,
10693,Power Pro Kun Pocket 13,DS,2010,Sports,Konami Digital Entertainment,0,0,0.13,0,0.13,
10694,Power Pro Kun Pocket 14,DS,2011,Sports,Konami Digital Entertainment,0,0,0.12,0,0.12,
10695,Power Pro Kun Pocket 2,GB,2000,Sports,Konami Digital Entertainment,0,0,0.25,0,0.25,
10696,Power Pro Kun Pocket 3,GBA,2001,Sports,Konami Digital Entertainment,0,0,0.27,0.01,0.28,
10697,Power Pro Kun Pocket 4,GBA,2002,Sports,Konami Digital Entertainment,0,0,0.29,0.01,0.29,
10698,Power Pro Kun Pocket 5,GBA,2003,Sports,Konami Digital Entertainment,0,0,0.25,0.01,0.26,
10699,Power Pro Kun Pocket 6,GBA,2003,Sports,Konami Digital Entertainment,0,0,0.29,0.01,0.3,
10700,Power Pro Kun Pocket 8,DS,2005,Sports,Konami Digital Entertainment,0,0,0.14,0,0.14,
10701,Power Pro Kun Pocket 9,DS,2006,Sports,Konami Digital Entertainment,0,0,0.15,0,0.15,
10702,Power Pro Success Legends,PSP,2010,Sports,Konami Digital Entertainment,0,0,0.06,0,0.06,
10703,Power Rangers Double Pack,GBA,2005,Action,THQ,0.11,0.04,0,0,0.16,
10704,Power Rangers Samurai,Wii,2011,Action,Namco Bandai Games,0.27,0.02,0,0.02,0.32,Inti Creates
10705,Power Rangers Samurai,DS,2011,Action,Namco Bandai Games,0.26,0.04,0,0.02,0.32,Inti Creates
10706,Power Rangers Super Megaforce ,3DS,2014,Action,Namco Bandai Games,0.01,0.01,0,0,0.03,Bandai Namco Games
10707,Power Rangers: Dino Thunder,PS2,2004,Action,THQ,0.35,0.27,0,0.09,0.71,Pacific Coast Power & Light
10708,Power Rangers: Dino Thunder,GBA,2003,Action,THQ,0.35,0.13,0,0.01,0.49,Natsume
10709,Power Rangers: Dino Thunder,GC,2004,Action,THQ,0.31,0.08,0,0.01,0.4,Pacific Coast Power & Light
10710,Power Rangers: Ninja Storm,GBA,2003,Misc,THQ,0.24,0.09,0,0.01,0.33,Natsume
10711,Power Rangers: S.P.D.,GBA,2004,Action,THQ,0.31,0.12,0,0.01,0.44,Natsume
10712,Power Rangers: Super Legends,PS2,2007,Action,Disney Interactive Studios,0.07,0.06,0,0.02,0.14,Artificial Mind and Movement
10713,Power Rangers: Super Legends,DS,2007,Action,Disney Interactive Studios,0.08,0.02,0,0.01,0.1,
10714,Power Rangers: Time Force,PS,2001,Action,THQ,0.18,0.12,0,0.02,0.32,
10715,Power Rangers: Time Force,GBA,2001,Action,THQ,0.14,0.05,0,0,0.2,
10716,Power Rangers: Wild Force,GBA,2002,Action,THQ,0.15,0.05,0,0,0.21,Natsume
10717,Power Shovel,PS,2000,Action,JVC,0.03,0.02,0,0,0.06,
10718,Power Spike Pro Beach Volleyball,PS,2000,Sports,Infogrames,0.03,0.02,0,0,0.05,Carapace
10719,Power Stakes,PS,1997,Sports,Aques,0,0,0.15,0.01,0.16,
10720,Power Stone,DC,1998,Fighting,Eidos Interactive,0,0,0.14,0,0.14,
10721,Power Stone Collection,PSP,2006,Action,Capcom,0.08,0,0,0.01,0.1,Capcom
10722,Powerbike,DS,2009,Racing,Majesco Entertainment,0.01,0,0,0,0.02,Tornado Studios
10723,Powerdrome,PS2,2004,Racing,Evolved Games,0.03,0.02,0,0.01,0.05,Argonaut Games
10724,Powerdrome,XB,2004,Racing,Evolved Games,0.01,0,0,0,0.01,Argonaut Games
10725,Powerful Golf,DS,2011,Sports,Konami Digital Entertainment,0,0,0.05,0,0.05,
10726,PowerSlave,PS,1996,Shooter,BMG Interactive Entertainment,0.02,0.01,0,0,0.03,
10727,PowerUp Heroes,X360,2011,Fighting,Ubisoft,0.18,0.09,0,0.03,0.3,Ubisoft
10728,Poy Poy,PS,1997,Action,Konami Digital Entertainment,0.01,0.01,0,0,0.03,
10729,Poyo Poyo Kansatsu Nikki,3DS,2012,Action,IE Institute,0,0,0.02,0,0.02,
10730,PQ: Practical Intelligence Quotient,PSP,2005,Puzzle,D3Publisher,0.07,0,0,0.01,0.08,Now Production
10731,PQ2: Practical Intelligence Quotient,PSP,2006,Puzzle,D3Publisher,0.04,0,0,0,0.05,Now Production
10732,Practise English!,DS,2007,Misc,Nintendo,0,0,0.73,0,0.73,
10733,Praetorians,PC,2003,Strategy,Eidos Interactive,0,0.04,0,0,0.04,Pyro Studios
10734,Predator: Concrete Jungle,PS2,2005,Action,Vivendi Games,0.1,0.07,0,0.03,0.2,Eurocom Entertainment Software
10735,Predator: Concrete Jungle,XB,2005,Action,Vivendi Games,0.07,0.02,0,0,0.1,Eurocom Entertainment Software
10736,Prehistorik Man,GBA,2001,Platform,THQ,0.01,0.01,0,0,0.02,Titus Software
10737,Press Your Luck 2010 Edition,Wii,2009,Misc,Ubisoft,0.33,0,0,0.03,0.35,Ludia Inc.
10738,Press Your Luck 2010 Edition,DS,2009,Misc,Ubisoft,0.18,0,0,0.01,0.2,Ludia Inc.
10739,Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0,0.15,
10740,Pretty Cure All Stars Everyone Gather ? Let's Dance!,Wii,2013,Misc,Namco Bandai Games,0,0,0.05,0,0.05,
10741,Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,2013,Misc,Takara Tomy,0,0,0.08,0,0.08,
10742,Pretty Rhythm: My Deco Rainbow Wedding,3DS,2013,Misc,Takara Tomy,0,0,0.08,0,0.08,
10743,Prey,X360,2006,Shooter,Take-Two Interactive,0.27,0.03,0,0.03,0.32,Venom Games
10744,Prey,PC,2006,Shooter,Take-Two Interactive,0,0.03,0,0.01,0.03,Arkane Studios
10745,Prey the Stars,DS,2008,Action,Tecmo Koei,0.07,0,0,0.01,0.07,Koei Canada
10746,Pride FC: Fighting Championships,PS2,2003,Fighting,THQ,0.15,0.11,0,0.04,0.3,Anchor
10747,Primal,PS2,2003,Action,Sony Computer Entertainment,0.21,0.17,0,0.06,0.43,SCEE
10748,Primal Rage,PS,1994,Fighting,Time Warner Interactive,0.06,0.04,0,0.01,0.11,
10749,Prince of Persia,PS3,2008,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,Ubisoft Montreal
10750,Prince of Persia,X360,2008,Action,Ubisoft,0.54,0.34,0.02,0.1,1.01,Ubisoft Montreal
10751,Prince of Persia (2008),PC,2008,Action,Ubisoft,0,0.02,0,0,0.03,
10752,Prince of Persia Trilogy,PS3,2010,Action,Ubisoft,0.17,0.24,0,0.09,0.5,
10753,Prince of Persia: Revelations,PSP,2005,Adventure,Ubisoft,0.18,0.01,0,0.02,0.21,
10754,Prince of Persia: Rival Swords,Wii,2007,Action,Ubisoft,0.24,0.02,0,0.02,0.29,Ubisoft Montreal
10755,Prince of Persia: Rival Swords,PSP,2007,Action,Ubisoft,0.08,0.02,0,0.01,0.11,"Pipeworks Software, Inc."
10756,Prince of Persia: The Fallen King,DS,2008,Action,Ubisoft,0.06,0,0,0,0.07,Ubisoft
10757,Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,Ubisoft Montreal
10758,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.3,0.26,0,0.06,0.62,Ubisoft Montreal
10759,Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,0.09,0.18,0.01,0.1,0.37,Ubisoft Quebec
10760,Prince of Persia: The Forgotten Sands,Wii,2010,Action,Ubisoft,0.1,0.11,0,0.02,0.23,Ubisoft Quebec
10761,Prince of Persia: The Forgotten Sands,DS,2010,Action,Ubisoft,0.14,0.01,0,0.01,0.15,Ubisoft Casablanca
10762,Prince of Persia: The Forgotten Sands,PC,2010,Action,Ubisoft,0,0.03,0,0,0.03,Ubisoft Montreal
10763,Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,0.88,1.03,0,0.31,2.22,Ubisoft
10764,Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0,0.04,0.94,Ubisoft
10765,Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,0.25,0.06,0,0.01,0.32,Ubisoft
10766,Prince of Persia: The Sands of Time,GBA,2003,Action,Ubisoft,0.11,0.04,0,0,0.15,Ubisoft Montreal
10767,Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0.57,0.02,0,0.09,0.68,Ubisoft Montreal
10768,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.33,0.22,0,0.03,0.58,Ubisoft
10769,Prince of Persia: The Two Thrones,GC,2005,Action,Ubisoft,0.11,0.03,0,0,0.15,Ubisoft
10770,Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft,0.54,0.88,0,0.22,1.64,Ubisoft Montreal
10771,Prince of Persia: Warrior Within,XB,2004,Action,Ubisoft,0.48,0.28,0,0.04,0.8,Ubisoft Montreal
10772,Prince of Persia: Warrior Within,GC,2004,Action,Ubisoft,0.15,0.04,0,0.01,0.2,Ubisoft
10773,Prince of Stride,PSV,2015,Adventure,Kadokawa Games,0,0,0.02,0,0.02,
10774,Princess Arthur,PSP,2013,Misc,Idea Factory,0,0,0.01,0,0.01,
10775,Princess Debut,DS,2008,Misc,Cave,0.1,0,0,0.01,0.1,Cave
10776,Princess Frontier Portable,PSP,2011,Adventure,Alchemist,0,0,0.02,0,0.02,
10777,Princess in Love,DS,2009,Simulation,DTP Entertainment,0.07,0,0,0.01,0.08,THQ
10778,Princess Isabella: A Witch's Curse,DS,2010,Adventure,GSP,0.05,0.03,0,0.01,0.08,Gogii Games
10779,Princess Isabella: A Witch's Curse,Wii,2010,Adventure,Destineer,0.02,0,0,0,0.02,Gogii Games
10780,Princess Maker 2,SAT,1995,Simulation,Micro Cabin,0,0,0.08,0,0.08,
10781,Princess Maker: Yumemiru Yosei,PS,1997,Strategy,Sony Computer Entertainment,0,0,0.18,0.01,0.19,
10782,"Princess Natasha: Student, Secret Agent, Princess",DS,2006,Action,Zoo Digital Publishing,0.03,0,0,0,0.03,
10783,Princess on Ice,DS,2008,Sports,505 Games,0.04,0.01,0,0,0.05,Arc System Works
10784,Princess Saver! Eternal Love for My Lady,PS2,2010,Adventure,Comfort,0,0,0.02,0,0.02,
10785,"Prinny 2: Dawn of Operation Panties, Dood!",PSP,2010,Platform,Nippon Ichi Software,0.05,0,0.03,0.01,0.1,
10786,Prinny: Can I Really Be the Hero?,PSP,2008,Platform,Tecmo Koei,0.03,0,0.05,0.01,0.09,Nippon Ichi Software
10787,Prinny: Can I Really Be The Hero? (US sales),PSP,N/A,Action,N/A,0.06,0,0,0,0.06,
10788,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,2015,Action,Namco Bandai Games,0,0,0.03,0,0.03,
10789,PriPara Mezameyo! Megami no Dress Design,3DS,2016,Action,Takara Tomy,0,0,0.03,0,0.03,
10790,PriPara Mezase! Idol Grand Prix No.1!,3DS,2015,Misc,Takara Tomy,0,0,0.11,0,0.11,
10791,Prism Ark: Awake,PS2,2008,Adventure,5pb,0,0,0.02,0,0.02,
10792,Prism: Light the Way,DS,2007,Puzzle,Eidos Interactive,0.05,0,0,0,0.05,Game Sauce
10793,Prison Architect,PS4,2016,Action,Introversion Software,0.01,0.01,0,0.01,0.03,"Introversion, Double Eleven"
10794,Prison Architect,XOne,2016,Action,Introversion Software,0.01,0,0,0,0.01,"Introversion, Double Eleven"
10795,Prison Break: The Conspiracy,PS3,2010,Action,Deep Silver,0.05,0.15,0,0.05,0.25,ZootFly
10796,Prison Break: The Conspiracy,X360,2010,Action,Deep Silver,0.07,0.11,0,0.02,0.21,ZootFly
10797,Prisoner of War,XB,2002,Adventure,Atari,0.06,0.02,0,0,0.08,Wide Games
10798,Pro Angler Moves,PS3,2012,Sports,"Interworks Unlimited, Inc.",0.01,0,0,0,0.01,"Interworks Unlimited, Inc."
10799,Pro Baseball Spirits 2015,PS3,2015,Action,Konami Digital Entertainment,0,0,0.15,0,0.15,
10800,Pro Baseball Spirits 2015,PSV,2015,Action,Konami Digital Entertainment,0,0,0.13,0,0.13,
10801,Pro Cast Sports Fishing,XB,2003,Sports,Capcom,0.02,0.01,0,0,0.03,Capcom
10802,Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.07,0,0.01,0.08,
10803,Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive,0,0.03,0,0,0.03,Cyanide
10804,Pro Evolution Soccer,PS2,2001,Sports,Konami Digital Entertainment,0.06,0.9,0.53,0.27,1.75,
10805,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63,Konami
10806,Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,Konami
10807,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,Konami
10808,Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,Konami
10809,Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,Konami
10810,Pro Evolution Soccer 2008 (JP sales),DS,2007,Sports,Konami Digital Entertainment,0,0,0.08,0,0.08,
10811,Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28,Konami
10812,Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16,1.57,Konami
10813,Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81,Konami
10814,Pro Evolution Soccer 2010,PSP,2009,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8,Konami
10815,Pro Evolution Soccer 2010,Wii,2009,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,0.51,Konami
10816,Pro Evolution Soccer 2010,PC,2009,Sports,Konami Digital Entertainment,0,0.01,0,0,0.01,Konami
10817,pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,0.29,1.17,0.54,0.41,2.41,Konami
10818,pro evolution soccer 2011,PSP,2010,Sports,Konami Digital Entertainment,0.05,0.3,0.29,0.16,0.79,Konami
10819,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0,0.07,0.61,Konami
10820,pro evolution soccer 2011,PS2,2010,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41,Konami
10821,pro evolution soccer 2011,Wii,2010,Sports,Konami Digital Entertainment,0.07,0.1,0.03,0.02,0.22,Konami
10822,pro evolution soccer 2011,PC,2010,Sports,Konami Digital Entertainment,0,0.05,0,0.01,0.06,Konami
10823,Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment,0.11,0.13,0.11,0.02,0.38,Konami
10824,Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,Konami
10825,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,Konami
10826,Pro Evolution Soccer 2012,X360,2011,Action,Konami Digital Entertainment,0.1,0.34,0,0.07,0.5,Konami
10827,Pro Evolution Soccer 2012,Wii,2011,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02,0.21,Konami
10828,Pro Evolution Soccer 2012,PC,2011,Action,Konami Digital Entertainment,0,0.07,0,0.02,0.09,Konami
10829,Pro Evolution Soccer 2012,PS2,2011,Action,Konami Digital Entertainment,0,0,0.06,0,0.06,Konami
10830,Pro Evolution Soccer 2012,3DS,2011,Action,Konami Digital Entertainment,0.02,0,0,0,0.03,
10831,Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,0.18,0.63,0.49,0.24,1.53,Konami
10832,Pro Evolution Soccer 2013,X360,2012,Sports,Konami Digital Entertainment,0.08,0.2,0,0.03,0.31,Konami
10833,Pro Evolution Soccer 2013,PSP,2012,Sports,Konami Digital Entertainment,0,0.07,0.18,0.03,0.27,Konami
10834,Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18,
10835,Pro Evolution Soccer 2013,Wii,2012,Sports,Konami Digital Entertainment,0,0.03,0.06,0,0.09,Konami
10836,Pro Evolution Soccer 2013,PC,2012,Sports,Konami Digital Entertainment,0,0.07,0,0.01,0.08,Konami
